country,year,population
Poland,2007,38125479.0
Poland,2008,38115641.0
Poland,2009,38135876.0
Poland,2010,38167329.0
Poland,2011,38200037.0
Poland,2012,38538447.0
Portugal,2002,10335559.0
Portugal,2003,10407465.0
Portugal,2004,10474685.0
Portugal,2005,10529255.0
Portugal,2006,10569592.0
Portugal,2007,10599095.0
Portugal,2008,10617575.0
Portugal,2009,10627250.0
Portugal,2010,10637713.0
Portugal,2011,10636979.0
Portugal,2012,10542398.0
Slovak Republic,2002,5378951.0
Slovak Republic,2003,5379161.0
Slovak Republic,2004,5380053.0
Slovak Republic,2005,5384822.0
Slovak Republic,2006,5389180.0
Slovak Republic,2007,5393637.0
Slovak Republic,2008,5400998.0
Slovak Republic,2009,5412254.0
Slovak Republic,2010,5424925.0
Slovak Republic,2011,5435273.0
Slovak Republic,2012,5404322.0
Spain,2002,40409330.0
Spain,2003,41550584.0
Spain,2004,42345342.0
Spain,2005,43038035.0
Spain,2006,43758250.0
Spain,2007,44474631.0
Spain,2008,45283259.0
Spain,2009,45828172.0
Spain,2010,45989016.0
Spain,2011,46152926.0
Spain,2012,46818221.0
Sweden,2002,8909128.0
Sweden,2003,8940788.0
Sweden,2004,8975670.0
Sweden,2005,9011392.0
Sweden,2006,9047752.0
Sweden,2007,9113257.0
Sweden,2008,9182927.0
Sweden,2009,9256347.0
Sweden,2010,9340682.0
Sweden,2011,9415570.0
Sweden,2012,9482855.0
Switzerland,2002,7261210.0
Switzerland,2003,7313853.0
Switzerland,2004,7364148.0
Switzerland,2005,7415102.0
Switzerland,2006,7459128.0
Switzerland,2007,7508739.0
Switzerland,2008,7593494.0
Switzerland,2009,7701856.0
Switzerland,2010,7785806.0
Switzerland,2011,7870134.0
Switzerland,2012,7954662.0
Turkey,2003,70171980.0
Turkey,2004,70689500.0
Turkey,2005,71607500.0
Turkey,2006,72519974.0
Turkey,2007,72519974.0
Turkey,2008,70586256.0
Turkey,2009,71517100.0
Turkey,2010,72561312.0
Turkey,2011,73722988.0
